,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
1688,NH,-0.8823529411764706,1.588235294117647,0.8823529411764706,2.3529411764705883,L,D,D,W,L,W
1689,NH,-1.3529411764705883,0.7058823529411765,0.4117647058823529,1.8823529411764706,L,W,L,D,L,L
1690,H,0.05555555555555555,1.6111111111111112,1.5,2.2777777777777777,D,W,L,D,W,W
1691,H,1.7777777777777777,0.6111111111111112,2.388888888888889,1.6666666666666667,W,L,D,L,W,L
1692,H,-0.3333333333333333,-0.6111111111111112,0.9444444444444444,1.0555555555555556,L,W,D,L,L,W
1693,D,-0.5555555555555556,-1.1111111111111112,0.9444444444444444,0.8333333333333334,D,L,W,L,L,D
1694,H,-0.05555555555555555,0.05555555555555555,1.1111111111111112,1.3333333333333333,W,W,W,D,D,L
1695,H,-0.2222222222222222,0.16666666666666666,0.7777777777777778,1.5,D,L,D,W,W,W
1696,H,0.5555555555555556,0.2222222222222222,1.6666666666666667,1.7222222222222223,L,W,W,D,L,D
1697,D,-0.2777777777777778,-0.5,1.0555555555555556,0.8888888888888888,W,L,W,L,L,W
1698,H,0.7777777777777778,0.2777777777777778,1.9444444444444444,1.2777777777777777,W,D,W,D,D,W
1699,D,-1.0555555555555556,-1.3888888888888888,0.7222222222222222,0.3888888888888889,L,L,D,L,L,L
1700,H,0.10526315789473684,0.10526315789473684,1.631578947368421,1.5789473684210527,L,W,W,D,D,L
1701,H,0.3684210526315789,-0.5263157894736842,1.5789473684210527,0.9473684210526315,L,D,L,D,L,W
1702,NH,-0.47368421052631576,1.894736842105263,0.8947368421052632,2.4210526315789473,D,W,L,W,L,D
1703,D,-0.6842105263157895,0.631578947368421,1.0,1.736842105263158,L,W,W,L,L,W
1704,H,0.10526315789473684,0.0,1.4210526315789473,1.2105263157894737,L,W,L,W,W,W
1705,H,1.4736842105263157,-0.15789473684210525,2.1578947368421053,0.8947368421052632,L,W,W,D,D,D
1706,NH,0.0,-0.2631578947368421,1.263157894736842,1.0526315789473684,L,D,W,W,D,W
1707,D,-1.0526315789473684,0.8947368421052632,0.8421052631578947,2.0,D,W,L,W,L,W
1708,H,0.10526315789473684,-1.0,1.2105263157894737,0.7368421052631579,L,D,D,L,D,D
1709,NH,-1.3157894736842106,-0.21052631578947367,0.42105263157894735,1.0526315789473684,D,W,L,L,L,D
1710,H,-0.65,0.0,1.0,1.5,D,L,L,W,W,D
1711,NH,0.2,1.5,1.7,2.2,W,W,L,L,W,W
1712,NH,-0.05,1.95,1.2,2.45,L,W,L,W,W,W
1713,NH,-0.05,-0.25,1.15,0.85,L,L,W,W,W,D
1714,D,0.15,-0.2,1.5,1.15,W,W,L,D,L,W
1715,H,0.4,0.85,1.65,1.95,W,D,L,W,L,W
1716,NH,-1.0,-1.05,0.85,0.7,D,L,D,D,L,L
1717,D,-0.6,-0.55,0.85,0.9,L,L,D,D,L,D
1718,NH,0.2,-0.15,1.3,1.15,W,W,L,W,D,L
1719,H,-1.3,0.6,0.4,1.7,L,D,D,W,L,L
1720,H,1.9047619047619047,0.14285714285714285,2.4761904761904763,1.4761904761904763,W,D,W,W,W,L
1721,H,1.5238095238095237,-0.5714285714285714,2.238095238095238,1.0952380952380953,W,W,W,D,L,L
1722,H,0.7619047619047619,-0.5714285714285714,1.8571428571428572,0.8571428571428571,L,D,D,L,W,D
1723,H,-0.5238095238095238,-0.09523809523809523,0.9047619047619048,1.1428571428571428,D,L,L,L,D,L
1724,H,-0.047619047619047616,-1.1904761904761905,1.4285714285714286,0.5238095238095238,L,W,L,L,W,D
1725,D,-0.14285714285714285,0.09523809523809523,0.9523809523809523,1.619047619047619,W,L,L,W,W,L
1726,H,0.5238095238095238,0.09523809523809523,1.619047619047619,1.2380952380952381,L,L,D,W,W,L
1727,H,-0.047619047619047616,-1.0476190476190477,1.2380952380952381,0.8095238095238095,W,L,W,D,W,D
1728,D,-0.19047619047619047,-0.14285714285714285,1.1428571428571428,1.0952380952380953,D,L,W,L,D,W
1729,H,-0.9047619047619048,0.42857142857142855,0.8095238095238095,1.7142857142857142,W,W,L,W,D,L
1730,D,-0.18181818181818182,0.8181818181818182,1.0909090909090908,1.9090909090909092,L,W,L,L,L,D
1731,H,0.045454545454545456,0.0,1.1818181818181819,1.5,L,W,L,L,W,L
1732,NH,-1.1818181818181819,1.5909090909090908,0.5,2.272727272727273,L,W,W,W,L,W
1733,H,-0.13636363636363635,1.8636363636363635,1.0909090909090908,2.5,D,W,L,W,L,W
1734,H,-0.6818181818181818,0.09090909090909091,1.0454545454545454,1.5909090909090908,L,D,W,L,D,W
1735,D,0.09090909090909091,-0.4090909090909091,1.4090909090909092,1.0,L,W,D,D,W,L
1736,NH,-0.18181818181818182,-0.13636363636363635,1.1363636363636365,0.9545454545454546,D,D,D,W,W,L
1737,H,0.36363636363636365,0.0,1.6363636363636365,1.3181818181818181,L,W,W,W,W,W
1738,D,-0.6363636363636364,-0.8181818181818182,0.8181818181818182,0.9090909090909091,L,W,D,W,L,L
1739,H,-1.0454545454545454,0.5454545454545454,0.7727272727272727,1.6818181818181819,L,W,L,L,D,D
1740,H,1.7391304347826086,-0.30434782608695654,2.391304347826087,1.0869565217391304,L,L,W,D,W,D
1741,H,0.0,-1.2608695652173914,1.5217391304347827,0.4782608695652174,L,L,D,L,L,W
1742,NH,0.4782608695652174,0.391304347826087,1.608695652173913,1.6956521739130435,L,W,W,L,L,W
1743,H,-0.391304347826087,-0.08695652173913043,1.0,1.173913043478261,D,W,W,D,D,L
1744,H,-0.043478260869565216,-0.9565217391304348,1.434782608695652,0.8695652173913043,L,W,W,L,L,L
1745,H,0.0,-0.5652173913043478,1.0434782608695652,1.1304347826086956,W,W,D,L,W,W
1746,D,-0.043478260869565216,-0.6086956521739131,1.2608695652173914,0.8260869565217391,L,D,W,L,W,D
1747,H,1.6521739130434783,0.08695652173913043,2.3043478260869565,1.2608695652173914,W,W,W,L,W,L
1748,NH,-0.782608695652174,-0.17391304347826086,0.9130434782608695,1.0869565217391304,D,D,W,L,W,L
1749,H,0.782608695652174,0.08695652173913043,1.8695652173913044,1.391304347826087,D,D,W,L,L,D
1750,H,1.8333333333333333,0.041666666666666664,2.4166666666666665,1.125,W,W,L,W,W,D
1751,NH,0.041666666666666664,-0.8333333333333334,1.3333333333333333,0.875,L,L,D,D,L,W
1752,NH,-1.0416666666666667,1.75,0.8333333333333334,2.3333333333333335,L,W,W,W,L,W
1753,H,-0.125,0.7916666666666666,1.125,1.9166666666666667,L,W,W,D,D,W
1754,NH,-0.4583333333333333,-0.3333333333333333,1.0416666666666667,1.0833333333333333,L,W,L,D,D,W
1755,D,0.4583333333333333,0.08333333333333333,1.75,1.5,W,W,W,L,L,W
1756,H,-0.08333333333333333,-0.041666666666666664,1.1666666666666667,1.25,W,D,D,L,L,W
1757,NH,-0.5833333333333334,0.375,0.8333333333333334,1.5416666666666667,D,L,D,L,L,W
1758,H,-0.08333333333333333,0.041666666666666664,1.2083333333333333,1.5833333333333333,L,W,W,L,L,D
1759,D,-1.25,-0.5833333333333334,0.4583333333333333,1.0833333333333333,L,L,L,W,L,L
1760,D,-0.24,1.8,1.16,2.44,W,W,W,W,D,L
1761,H,0.0,-1.16,1.52,0.8,L,L,W,L,L,W
1762,H,1.84,0.44,2.36,1.72,W,D,W,W,W,W
1763,H,0.08,-0.6,1.48,0.8,D,L,W,D,L,D
1764,D,-0.56,-0.04,1.08,1.28,D,W,L,L,W,W
1765,NH,0.0,-1.2,1.08,0.48,L,D,W,L,W,L
1766,H,0.4,-0.04,1.6,1.24,W,W,L,W,L,D
1767,D,-0.08,-0.04,1.2,1.28,L,L,D,L,L,D
1768,D,-0.72,0.0,0.96,1.2,W,W,L,L,D,W
1769,D,0.64,-0.52,1.84,1.0,L,L,W,L,D,L
1770,H,-0.038461538461538464,0.5,1.2692307692307692,1.6538461538461537,D,W,L,W,L,L
1771,D,0.38461538461538464,0.07692307692307693,1.6538461538461537,1.5769230769230769,L,W,D,L,W,W
1772,D,-0.15384615384615385,0.15384615384615385,1.1923076923076923,1.5384615384615385,L,W,W,D,W,W
1773,H,-0.23076923076923078,-0.07692307692307693,1.1538461538461537,1.0384615384615385,D,L,W,L,W,W
1774,H,1.7307692307692308,0.6153846153846154,2.3846153846153846,1.8076923076923077,D,D,W,L,W,W
1775,D,-0.5,-0.6923076923076923,1.0,0.9615384615384616,D,D,L,W,L,L
1776,H,-1.1923076923076923,-0.5384615384615384,0.7692307692307693,1.0769230769230769,L,D,L,D,L,L
1777,NH,-0.6538461538461539,1.8076923076923077,0.7692307692307693,2.3846153846153846,L,W,L,W,D,W
1778,H,-0.038461538461538464,-1.0769230769230769,1.2692307692307692,0.5769230769230769,D,W,W,D,L,L
1779,H,0.0,-0.07692307692307693,1.1923076923076923,1.1923076923076923,D,D,W,L,L,D
1780,D,0.14814814814814814,0.07407407407407407,1.5185185185185186,1.3333333333333333,D,W,W,D,D,L
1781,H,-0.6296296296296297,0.37037037037037035,1.037037037037037,1.6296296296296295,L,D,D,L,D,D
1782,NH,0.07407407407407407,-0.7407407407407407,1.5555555555555556,0.7407407407407407,D,L,W,L,L,L
1783,H,1.8518518518518519,-0.14814814814814814,2.4074074074074074,1.1851851851851851,W,D,W,L,W,W
1784,H,-1.1111111111111112,-1.037037037037037,0.5555555555555556,0.8518518518518519,L,W,W,L,D,L
1785,H,-0.1111111111111111,0.037037037037037035,1.0,1.3333333333333333,L,W,L,D,L,W
1786,H,0.37037037037037035,0.037037037037037035,1.5925925925925926,1.2592592592592593,L,W,W,D,W,W
1787,NH,-0.1111111111111111,-0.48148148148148145,1.1481481481481481,1.0,L,D,D,D,L,L
1788,H,0.48148148148148145,-0.18518518518518517,1.7407407407407407,1.2222222222222223,L,W,D,D,L,W
1789,NH,-0.6666666666666666,1.7777777777777777,0.9629629629629629,2.4074074074074074,D,W,D,D,W,W
1790,D,0.2857142857142857,-1.0357142857142858,1.5714285714285714,0.6428571428571429,L,W,D,L,L,W
1791,H,-0.21428571428571427,0.0,1.1428571428571428,1.5,L,L,D,D,L,W
1792,H,-0.25,-0.7142857142857143,1.1785714285714286,0.9285714285714286,L,L,W,D,D,D
1793,H,1.7857142857142858,-0.17857142857142858,2.4285714285714284,1.1071428571428572,W,L,W,L,D,D
1794,D,-0.39285714285714285,0.4642857142857143,1.0714285714285714,1.6428571428571428,W,W,D,L,D,W
1795,D,-1.0357142857142858,-0.03571428571428571,0.8214285714285714,1.2857142857142858,L,L,W,W,L,D
1796,H,0.5357142857142857,-0.03571428571428571,1.7857142857142858,1.0714285714285714,W,W,L,L,D,L
1797,D,-0.6428571428571429,-0.5357142857142857,0.8214285714285714,1.1071428571428572,W,W,L,L,L,D
1798,H,-0.07142857142857142,0.14285714285714285,1.2142857142857142,1.5,L,D,W,D,D,W
1799,NH,0.07142857142857142,1.8571428571428572,1.3214285714285714,2.4285714285714284,D,W,W,W,D,W
1800,D,-0.06896551724137931,-1.0,1.0344827586206897,0.8275862068965517,L,D,W,L,L,W
1801,NH,0.4482758620689655,1.793103448275862,1.6206896551724137,2.4482758620689653,D,W,W,W,L,W
1802,H,-0.7241379310344828,0.5517241379310345,0.896551724137931,1.8275862068965518,L,W,L,W,D,L
1803,D,-0.5172413793103449,-0.1724137931034483,1.103448275862069,1.206896551724138,D,W,W,L,L,D
1804,NH,-0.034482758620689655,0.0,1.4482758620689655,1.2758620689655173,L,L,L,D,D,W
1805,H,-0.2413793103448276,-0.20689655172413793,1.0689655172413792,1.2413793103448276,L,W,L,L,L,W
1806,H,1.8620689655172413,0.0,2.4482758620689653,1.2758620689655173,W,W,W,L,W,W
1807,H,-0.034482758620689655,0.27586206896551724,1.2758620689655173,1.5517241379310345,D,D,L,L,W,D
1808,H,-1.0,-0.6206896551724138,0.6551724137931034,0.8275862068965517,D,D,W,W,L,L
1809,H,0.06896551724137931,-0.3793103448275862,1.4482758620689655,1.0689655172413792,L,D,D,W,D,D
1810,H,1.7666666666666666,0.1,2.466666666666667,1.5,W,W,W,L,W,D
1811,H,0.16666666666666666,-0.9666666666666667,1.5,0.8333333333333334,L,D,D,D,L,L
1812,H,-0.6,-0.06666666666666667,0.9666666666666667,1.0333333333333334,W,D,L,L,L,W
1813,D,-0.23333333333333334,0.4,1.2,1.5666666666666667,L,L,W,D,L,W
1814,H,-0.03333333333333333,-0.1,1.2333333333333334,1.4,L,L,W,L,L,L
1815,D,0.06666666666666667,-0.5,1.3333333333333333,1.1,W,D,L,D,D,W
1816,NH,-0.4,1.8333333333333333,1.0333333333333334,2.466666666666667,L,W,D,W,W,W
1817,D,-0.16666666666666666,-0.8666666666666667,1.2,0.7333333333333333,D,W,W,D,L,W
1818,H,0.43333333333333335,-0.2,1.7666666666666666,1.1333333333333333,L,W,W,L,W,L
1819,NH,-0.7,0.06666666666666667,0.8,1.3333333333333333,L,W,D,D,W,L
1820,NH,-0.12903225806451613,0.25806451612903225,1.0,1.5483870967741935,L,W,D,L,L,D
1821,NH,1.8387096774193548,1.8064516129032258,2.4838709677419355,2.4838709677419355,W,W,W,W,W,W
1822,D,-1.032258064516129,-0.7419354838709677,0.8064516129032258,0.7741935483870968,L,L,D,L,D,D
1823,H,0.12903225806451613,-0.16129032258064516,1.3870967741935485,1.1935483870967742,W,D,W,D,D,W
1824,NH,-0.8387096774193549,0.06451612903225806,0.7419354838709677,1.3225806451612903,D,D,W,W,D,L
1825,H,0.0,-0.22580645161290322,1.4516129032258065,1.1935483870967742,L,D,W,L,L,W
1826,H,-0.4838709677419355,0.06451612903225806,1.096774193548387,1.2903225806451613,D,W,D,L,D,W
1827,D,-0.1935483870967742,-0.45161290322580644,1.3548387096774193,1.0,L,L,L,L,L,D
1828,H,0.3870967741935484,0.5161290322580645,1.5483870967741935,1.8064516129032258,D,W,L,L,D,W
1829,H,-0.2903225806451613,-0.5161290322580645,1.096774193548387,1.032258064516129,L,W,W,W,L,L
1830,H,0.09375,0.15625,1.375,1.4375,W,W,D,W,W,W
1831,NH,-0.1875,-1.0,1.15625,0.8125,L,D,D,L,D,D
1832,H,-0.71875,0.28125,0.78125,1.59375,D,W,L,W,L,L
1833,NH,-0.03125,-0.84375,1.25,0.71875,L,L,W,D,L,W
1834,H,1.8125,-0.1875,2.5,1.34375,W,D,W,L,W,L
1835,D,-0.21875,-0.15625,1.15625,0.96875,W,L,L,L,W,D
1836,H,-0.4375,-0.375,1.0,1.15625,D,W,L,D,L,D
1837,D,-0.5625,0.40625,1.0,1.59375,L,W,W,D,W,L
1838,NH,-0.3125,1.71875,1.15625,2.40625,L,L,D,W,L,W
1839,H,0.46875,0.09375,1.75,1.5,L,W,W,L,L,W
1840,D,-0.42424242424242425,1.8484848484848484,1.121212121212121,2.515151515151515,L,W,W,W,D,W
1841,H,0.24242424242424243,-0.24242424242424243,1.5454545454545454,1.121212121212121,L,L,W,L,W,D
1842,H,0.06060606060606061,-0.06060606060606061,1.393939393939394,1.2121212121212122,L,L,W,L,W,W
1843,D,0.030303030303030304,-0.5454545454545454,1.4545454545454546,1.0,L,D,W,L,L,W
1844,D,-0.2727272727272727,-0.3333333333333333,1.303030303030303,1.121212121212121,L,L,D,L,L,D
1845,D,-0.15151515151515152,-0.6666666666666666,0.9696969696969697,0.8484848484848485,D,W,L,D,L,L
1846,H,1.696969696969697,0.5151515151515151,2.4242424242424243,1.7878787878787878,W,W,L,L,W,W
1847,H,-0.9090909090909091,0.18181818181818182,0.8787878787878788,1.4242424242424243,W,W,D,W,L,D
1848,D,-0.7878787878787878,-0.36363636363636365,0.7878787878787878,1.0606060606060606,W,W,L,D,D,L
1849,H,0.3939393939393939,-0.21212121212121213,1.5757575757575757,1.1515151515151516,D,D,W,W,D,L
1850,H,1.7941176470588236,-0.7647058823529411,2.4705882352941178,0.7941176470588235,D,D,W,W,W,L
1851,H,0.4411764705882353,-0.2647058823529412,1.7352941176470589,1.2941176470588236,L,D,W,L,L,D
1852,NH,-0.5294117647058824,1.7058823529411764,1.0,2.4411764705882355,D,W,D,W,L,L
1853,NH,-0.3235294117647059,-0.4117647058823529,1.1176470588235294,1.1176470588235294,D,D,L,L,L,W
1854,H,-0.08823529411764706,-0.8529411764705882,1.1764705882352942,0.9411764705882353,L,W,L,W,L,D
1855,H,0.14705882352941177,0.3235294117647059,1.3823529411764706,1.588235294117647,L,W,W,L,W,W
1856,D,0.4411764705882353,-0.14705882352941177,1.6176470588235294,0.9705882352941176,W,D,D,D,W,L
1857,NH,-0.35294117647058826,0.08823529411764706,1.0588235294117647,1.4411764705882353,D,W,W,L,D,W
1858,NH,-0.3235294117647059,-0.6470588235294118,1.088235294117647,0.8529411764705882,L,D,L,W,L,D
1859,D,-0.2647058823529412,0.029411764705882353,1.1176470588235294,1.4411764705882353,L,D,D,L,W,W
1860,NH,-0.37142857142857144,0.45714285714285713,1.1714285714285715,1.7714285714285714,W,W,D,L,L,W
1861,NH,-0.2857142857142857,-0.5428571428571428,1.2571428571428571,0.9714285714285714,L,L,D,D,L,D
1862,D,-0.14285714285714285,-0.37142857142857144,0.9714285714285714,1.0571428571428572,D,L,D,L,D,L
1863,H,-0.8857142857142857,-0.37142857142857144,0.9142857142857143,1.0285714285714285,L,L,W,D,W,W
1864,D,-0.5714285714285714,0.17142857142857143,0.9142857142857143,1.4285714285714286,W,W,D,L,W,W
1865,NH,0.11428571428571428,1.8,1.4857142857142858,2.4857142857142858,W,W,W,D,L,W
1866,H,-0.8,-0.34285714285714286,0.7714285714285715,1.0857142857142856,L,L,D,D,W,L
1867,NH,0.02857142857142857,0.42857142857142855,1.4285714285714286,1.6,D,D,D,W,L,D
1868,H,1.6857142857142857,-0.2571428571428571,2.4571428571428573,1.1142857142857143,W,D,W,L,W,D
1869,H,0.2857142857142857,-0.02857142857142857,1.542857142857143,1.2285714285714286,L,W,W,L,L,L
1870,H,-0.3611111111111111,0.027777777777777776,1.0555555555555556,1.4444444444444444,L,L,L,W,D,W
1871,H,1.8333333333333333,-0.8333333333333334,2.5,0.9722222222222222,W,W,W,L,D,W
1872,D,0.16666666666666666,-0.3611111111111111,1.4166666666666667,1.0555555555555556,D,D,W,L,L,L
1873,H,0.5,-0.75,1.8055555555555556,0.8333333333333334,W,W,W,L,L,D
1874,D,-0.027777777777777776,-0.1388888888888889,1.3888888888888888,0.9722222222222222,L,D,D,D,D,D
1875,H,-0.08333333333333333,-0.5555555555555556,1.1944444444444444,0.9166666666666666,L,D,W,W,L,D
1876,NH,0.4722222222222222,1.6666666666666667,1.6388888888888888,2.4722222222222223,W,W,D,W,W,W
1877,H,-0.2777777777777778,-0.3055555555555556,1.0833333333333333,1.2222222222222223,L,L,D,L,L,D
1878,NH,-0.3888888888888889,0.3333333333333333,1.0,1.5833333333333333,L,W,L,L,D,W
1879,H,-0.5,-0.4166666666666667,1.0277777777777777,1.1388888888888888,W,L,L,W,D,D
1880,H,-0.43243243243243246,-0.21621621621621623,1.1081081081081081,1.135135135135135,L,W,L,L,W,D
1881,H,0.16216216216216217,-0.13513513513513514,1.4054054054054055,0.972972972972973,D,D,D,D,W,D
1882,H,-0.35135135135135137,0.3783783783783784,1.1891891891891893,1.5945945945945945,L,L,L,W,L,D
1883,H,1.7027027027027026,-0.02702702702702703,2.4864864864864864,1.3783783783783783,W,D,W,L,W,D
1884,NH,0.43243243243243246,1.864864864864865,1.6216216216216217,2.5135135135135136,W,W,W,W,L,W
1885,D,-0.35135135135135137,-0.02702702702702703,1.054054054054054,1.2432432432432432,D,W,D,L,L,W
1886,D,-0.8918918918918919,-0.2972972972972973,0.9459459459459459,1.1081081081081081,L,W,W,L,L,L
1887,H,-0.5945945945945946,-0.4864864864864865,0.8918918918918919,0.972972972972973,L,L,D,L,W,L
1888,H,-0.02702702702702703,0.5405405405405406,1.4054054054054055,1.837837837837838,L,W,L,W,W,W
1889,H,-0.7837837837837838,-0.4594594594594595,0.8108108108108109,1.0810810810810811,L,W,W,W,L,L
1890,NH,-0.2894736842105263,0.39473684210526316,1.105263157894737,1.5789473684210527,D,L,W,W,L,W
1891,H,-0.13157894736842105,-0.3157894736842105,1.3421052631578947,1.236842105263158,L,W,D,L,L,L
1892,NH,-0.02631578947368421,0.18421052631578946,1.236842105263158,1.4473684210526316,D,W,W,D,L,D
1893,H,0.34210526315789475,-0.39473684210526316,1.5526315789473684,1.1578947368421053,L,W,L,L,W,L
1894,D,-0.47368421052631576,0.02631578947368421,1.0526315789473684,1.4473684210526316,L,W,W,L,W,L
1895,H,1.8421052631578947,-0.5526315789473685,2.526315789473684,0.9473684210526315,W,W,W,L,W,D
1896,D,-0.15789473684210525,1.763157894736842,0.9473684210526315,2.5,L,W,D,W,D,W
1897,D,-0.23684210526315788,-0.7368421052631579,1.105263157894737,0.868421052631579,L,W,W,L,L,W
1898,H,-0.5,-0.34210526315789475,0.9473684210526315,1.0526315789473684,L,D,L,D,L,D
1899,H,0.47368421052631576,-0.868421052631579,1.7894736842105263,0.9473684210526315,L,D,W,L,W,W
1930,H,0.0,0.0,1.0,1.0,D,W,L,L,W,D
