,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
4886,H,-0.8484848484848485,-0.48484848484848486,0.9393939393939394,1.121212121212121,L,D,L,L,D,L
4887,H,1.2121212121212122,-0.36363636363636365,2.0,1.121212121212121,W,D,W,W,L,L
4888,NH,-0.5757575757575758,0.696969696969697,0.8484848484848485,1.7272727272727273,L,D,L,L,L,W
4889,D,-0.5757575757575758,-0.45454545454545453,0.9696969696969697,1.2121212121212122,D,L,L,W,D,W
4890,NH,1.0294117647058822,2.0,1.9705882352941178,2.5588235294117645,L,W,W,L,W,W
4891,NH,1.088235294117647,-0.7647058823529411,2.088235294117647,0.6176470588235294,L,D,W,L,W,L
4892,H,-0.20588235294117646,0.5,1.2058823529411764,1.588235294117647,W,L,W,W,W,W
4893,D,-0.5294117647058824,-0.9705882352941176,1.0294117647058822,0.7941176470588235,D,L,D,L,W,L
4894,D,-0.4411764705882353,1.0294117647058822,1.0294117647058822,1.9705882352941178,L,L,D,W,L,W
4895,NH,-0.35294117647058826,1.088235294117647,1.1176470588235294,2.088235294117647,D,L,D,W,W,W
4896,NH,0.11764705882352941,0.7058823529411765,1.5294117647058822,1.7647058823529411,W,W,W,D,W,L
4897,D,0.058823529411764705,-0.5882352941176471,1.2647058823529411,0.8235294117647058,L,L,L,L,W,L
4898,D,-0.5,-0.5588235294117647,1.088235294117647,0.9117647058823529,L,D,D,L,L,W
4899,D,-0.7647058823529411,1.1764705882352942,0.6176470588235294,1.9705882352941178,D,D,L,W,L,W
4900,H,0.5714285714285714,-0.6,1.6285714285714286,1.0,W,L,L,D,W,D
4901,H,2.085714285714286,-0.6857142857142857,2.5714285714285716,0.9428571428571428,W,L,W,D,L,D
4902,D,-0.9428571428571428,0.08571428571428572,0.8,1.4857142857142858,D,L,L,W,L,W
4903,H,-0.42857142857142855,-0.22857142857142856,1.2,1.1714285714285715,D,L,D,W,L,W
4904,D,0.08571428571428572,-0.42857142857142855,1.4857142857142858,1.0285714285714285,L,D,W,L,W,D
4905,H,-0.5142857142857142,0.05714285714285714,0.9714285714285714,1.2571428571428571,W,D,D,L,L,L
4906,NH,-0.7714285714285715,-0.42857142857142855,1.0,1.2,W,D,D,D,L,L
4907,D,1.2285714285714286,-0.9428571428571428,2.0,0.8,W,D,D,L,W,L
4908,NH,-0.22857142857142856,-0.7142857142857143,1.1714285714285715,0.6857142857142857,L,W,W,D,W,L
4909,H,-0.5714285714285714,-0.42857142857142855,0.8285714285714286,1.0857142857142856,D,L,L,D,L,D
4910,NH,-0.6944444444444444,0.7222222222222222,0.9166666666666666,1.8333333333333333,L,W,L,W,D,W
4911,H,1.1111111111111112,0.5277777777777778,2.138888888888889,1.5833333333333333,W,L,W,W,L,L
4912,NH,-0.6666666666666666,2.111111111111111,0.9722222222222222,2.5833333333333335,L,W,L,W,D,W
4913,H,1.0277777777777777,-0.5,1.9722222222222223,1.0555555555555556,W,D,D,L,L,L
4914,H,-0.4166666666666667,1.1111111111111112,1.0277777777777777,2.138888888888889,D,W,D,W,L,L
4915,H,-0.4722222222222222,-0.6944444444444444,1.0555555555555556,0.9166666666666666,L,L,L,L,D,D
4916,D,-0.3888888888888889,-0.5277777777777778,1.25,0.8888888888888888,W,W,D,D,D,L
4917,NH,-0.08333333333333333,-0.6666666666666666,1.2222222222222223,0.9722222222222222,L,L,D,L,L,D
4918,NH,-0.9166666666666666,-0.5,0.8055555555555556,0.9722222222222222,D,D,D,W,L,D
