,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
2911,NH,-0.2692307692307692,0.34615384615384615,1.1923076923076923,1.4230769230769231,D,W,W,W,W,D
2912,NH,-0.5384615384615384,0.34615384615384615,0.8846153846153846,1.4615384615384615,L,W,D,L,D,W
2913,NH,-0.8461538461538461,0.8076923076923077,0.6923076923076923,1.5769230769230769,L,D,L,W,W,W
2914,D,0.19230769230769232,-0.4230769230769231,1.5384615384615385,1.0,L,W,W,D,D,L
2915,D,-0.6923076923076923,-0.8461538461538461,0.7307692307692307,1.0,D,L,D,L,D,D
2916,D,-0.07692307692307693,0.0,1.2692307692307692,1.2307692307692308,L,D,W,L,L,L
2917,NH,0.15384615384615385,-0.34615384615384615,1.4615384615384615,0.9615384615384616,L,D,L,L,W,L
2918,H,0.8076923076923077,0.0,1.8461538461538463,1.5,W,W,L,D,L,D
2919,H,1.2692307692307692,0.038461538461538464,1.9615384615384615,1.7692307692307692,L,W,W,D,W,L
2920,H,0.4074074074074074,0.1111111111111111,1.5185185185185186,1.5185185185185186,W,D,W,L,L,W
2921,H,-0.7777777777777778,-0.2962962962962963,1.0,1.1481481481481481,D,L,L,D,L,W
2922,D,0.0,-0.07407407407407407,1.4444444444444444,1.2592592592592593,L,D,W,L,D,W
2923,H,-0.2962962962962963,1.1851851851851851,0.8888888888888888,2.0,L,W,D,L,W,W
2924,NH,-0.4444444444444444,-0.7777777777777778,1.0,0.6666666666666666,D,L,W,L,D,L
2925,H,0.9259259259259259,0.25925925925925924,1.6296296296296295,1.6666666666666667,W,W,D,W,W,D
2926,D,0.0,-0.5185185185185185,1.2222222222222223,0.8518518518518519,D,L,D,L,L,D
2927,D,-0.3333333333333333,0.7777777777777778,1.037037037037037,1.8888888888888888,W,W,D,W,L,L
2928,H,0.37037037037037035,0.1111111111111111,1.4814814814814814,1.4074074074074074,W,L,W,L,W,L
2929,H,0.07407407407407407,-0.7037037037037037,1.7037037037037037,0.7407407407407407,L,D,W,D,D,D
2930,D,0.10714285714285714,0.8928571428571429,1.4642857142857142,1.6785714285714286,L,W,D,W,L,D
2931,H,-0.25,-0.03571428571428571,1.1071428571428572,1.4285714285714286,L,D,L,L,D,W
2932,NH,-0.35714285714285715,0.03571428571428571,1.0357142857142858,1.2142857142857142,D,D,W,D,D,D
2933,H,-0.35714285714285715,-0.5714285714285714,0.8571428571428571,0.9642857142857143,D,L,L,D,L,W
2934,H,1.1785714285714286,-0.7857142857142857,1.9285714285714286,0.75,L,W,W,L,L,L
2935,H,-0.6071428571428571,-0.35714285714285715,0.7142857142857143,0.9642857142857143,L,W,D,L,D,D
2936,NH,-0.14285714285714285,0.42857142857142855,1.25,1.5357142857142858,D,W,D,W,L,W
2937,H,0.14285714285714285,-0.7857142857142857,1.3571428571428572,1.0714285714285714,L,W,L,D,L,L
2938,D,0.75,0.07142857142857142,1.8571428571428572,1.75,D,W,W,L,W,W
2939,H,0.32142857142857145,0.32142857142857145,1.6071428571428572,1.5714285714285714,L,W,W,W,W,W
