,FTR,HTGD,ATGD,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3
283,H,-0.7586206896551724,0.1724137931034483,0.7931034482758621,1.4137931034482758,L,D,D,D,L,D
284,D,1.3448275862068966,1.3448275862068966,2.5172413793103448,2.1724137931034484,W,W,W,W,D,W
285,H,0.0,-0.5517241379310345,1.3448275862068966,1.0689655172413792,D,W,L,D,W,D
286,H,-0.4827586206896552,-0.8620689655172413,0.8275862068965517,0.6206896551724138,L,W,L,L,D,D
287,H,-0.20689655172413793,-0.4827586206896552,1.1724137931034482,0.9655172413793104,L,D,L,L,D,L
288,H,-0.5517241379310345,0.06896551724137931,1.0,1.5172413793103448,W,L,L,D,W,D
289,NH,0.06896551724137931,1.3448275862068966,1.5172413793103448,2.5172413793103448,L,W,D,W,D,D
290,NH,-0.8666666666666667,-0.36666666666666664,0.5,1.0,L,W,L,W,D,D
291,H,0.13333333333333333,-0.3,1.3666666666666667,1.1666666666666667,L,W,D,L,D,W
292,H,0.6666666666666666,-0.1,1.9666666666666666,1.2,W,W,W,D,W,W
293,H,1.0333333333333334,0.06666666666666667,2.066666666666667,1.4,W,W,D,D,W,L
294,NH,-0.8666666666666667,-0.5,0.6,1.0666666666666667,L,W,W,W,L,L
295,NH,-0.6,-0.7,1.0333333333333334,0.8666666666666667,L,W,W,L,D,D
296,H,0.8333333333333334,-0.43333333333333335,1.8333333333333333,0.9,L,W,D,L,W,L
297,NH,0.13333333333333333,-0.13333333333333333,1.2333333333333334,1.2333333333333334,L,W,L,L,L,L
298,NH,-0.5333333333333333,1.3,0.9333333333333333,2.1333333333333333,L,D,D,W,L,W
299,D,-0.36666666666666664,0.6666666666666666,1.0,1.9666666666666666,W,W,W,W,D,W
300,D,-0.16129032258064516,0.22580645161290322,1.1612903225806452,1.4193548387096775,L,W,W,L,D,D
301,NH,-0.3548387096774194,-0.6451612903225806,1.0,1.0,D,L,W,L,W,W
302,H,-0.6129032258064516,-0.03225806451612903,0.9354838709677419,1.4193548387096775,W,L,W,L,L,L
303,D,1.3225806451612903,0.8387096774193549,2.4838709677419355,1.8709677419354838,W,W,D,L,W,D
304,H,0.0,0.06451612903225806,1.3548387096774193,1.1935483870967742,L,L,W,L,D,L
305,D,-0.45161290322580644,-0.6451612903225806,0.8709677419354839,0.9032258064516129,L,L,W,L,L,D
306,H,1.3870967741935485,0.6451612903225806,2.161290322580645,1.935483870967742,W,D,D,W,W,W
307,H,-0.06451612903225806,-0.8709677419354839,1.2903225806451613,0.4838709677419355,W,L,W,L,L,L
308,H,-0.45161290322580644,1.064516129032258,1.1290322580645162,2.096774193548387,W,W,W,W,W,D
309,NH,-0.3870967741935484,-0.8709677419354839,1.1290322580645162,0.5806451612903226,L,L,W,L,L,W
310,H,1.0,-0.4375,2.03125,0.875,L,D,W,L,W,W
311,H,-0.8125,1.40625,0.65625,2.1875,W,W,L,W,L,D
312,D,-0.875,1.28125,0.46875,2.4375,L,D,L,W,L,D
313,H,0.21875,-0.0625,1.40625,1.375,D,L,W,L,L,L
314,D,0.5625,0.8125,1.875,1.84375,L,D,D,W,W,L
315,D,0.0625,-0.5625,1.40625,1.0,W,W,L,W,W,W
316,D,-0.03125,-0.15625,1.34375,1.15625,W,D,W,L,W,W
317,D,-0.5625,-0.40625,1.0625,1.09375,W,L,L,L,L,W
318,D,0.0,-0.40625,1.15625,0.96875,L,L,L,D,L,W
319,H,-0.625,-0.40625,0.90625,1.1875,D,W,L,W,L,W
320,NH,-0.15151515151515152,1.0606060606060606,1.1515151515151516,2.0606060606060606,D,W,D,L,L,W
321,NH,-0.09090909090909091,-0.5454545454545454,1.3333333333333333,0.9696969696969697,L,W,L,D,L,L
322,D,-0.3939393939393939,-0.030303030303030304,0.9696969696969697,1.3333333333333333,D,D,L,W,D,W
323,H,-0.5454545454545454,0.0,1.0,1.1515151515151516,D,D,W,L,W,L
324,D,1.2424242424242424,0.5454545454545454,2.393939393939394,1.8484848484848484,D,D,D,L,W,D
325,H,-0.5151515151515151,-0.8484848484848485,0.8484848484848485,0.48484848484848486,L,D,D,L,L,L
326,H,1.3333333333333333,0.24242424242424243,2.121212121212121,1.4545454545454546,L,W,W,D,W,W
327,H,-0.45454545454545453,-0.5454545454545454,1.1515151515151516,1.0606060606060606,L,D,W,W,W,L
328,H,0.7878787878787878,-0.7575757575757576,1.8181818181818181,0.7272727272727273,D,W,D,W,W,L
329,NH,-0.3939393939393939,0.06060606060606061,1.0909090909090908,1.393939393939394,D,D,L,W,L,L
330,H,1.3823529411764706,1.0588235294117647,2.1470588235294117,2.088235294117647,W,W,L,W,W,L
331,D,-0.38235294117647056,1.2058823529411764,0.9705882352941176,2.3529411764705883,D,D,D,D,L,D
332,H,0.14705882352941177,-0.4411764705882353,1.411764705882353,0.9117647058823529,L,W,W,L,D,D
333,H,-0.5,-0.4117647058823529,1.0588235294117647,1.0588235294117647,W,L,D,D,W,L
334,H,0.08823529411764706,-0.14705882352941177,1.4411764705882353,1.2941176470588236,W,L,D,L,W,L
335,NH,-0.7941176470588235,-0.47058823529411764,0.7058823529411765,1.0294117647058822,L,W,W,W,W,D
336,D,-0.029411764705882353,0.8235294117647058,1.3235294117647058,1.8529411764705883,D,W,D,D,W,D
337,H,-0.6470588235294118,-0.17647058823529413,1.0294117647058822,1.1176470588235294,L,L,D,D,W,D
338,NH,-0.029411764705882353,-0.3235294117647059,1.1176470588235294,1.2058823529411764,L,W,D,L,L,W
339,NH,-0.8823529411764706,0.5294117647058824,0.47058823529411764,1.8235294117647058,L,D,D,D,L,L
340,D,-0.22857142857142856,-0.37142857142857144,1.0857142857142856,0.9714285714285714,L,D,L,D,D,D
341,H,0.5714285714285714,-0.45714285714285713,1.8571428571428572,1.1142857142857143,W,W,D,W,D,D
342,H,1.0,-0.5714285714285714,2.0285714285714285,1.0857142857142856,L,W,W,L,W,D
343,D,1.1714285714285715,0.14285714285714285,2.3142857142857145,1.4857142857142858,D,W,D,W,D,D
344,D,-0.8,-0.9142857142857143,0.6857142857142857,0.45714285714285713,L,L,L,L,W,D
345,H,-0.2,-0.02857142857142857,1.2571428571428571,1.3142857142857143,L,D,L,D,L,D
346,NH,-0.4857142857142857,1.3714285714285714,0.8857142857142857,2.1714285714285713,L,W,W,W,L,L
347,D,-0.2857142857142857,-0.42857142857142855,1.2571428571428571,1.0285714285714285,W,L,W,L,L,D
348,D,0.8,-0.05714285714285714,1.8285714285714285,1.0857142857142856,D,L,W,L,D,D
349,D,-0.42857142857142855,0.2,1.0857142857142856,1.457142857142857,W,W,W,L,W,W
350,H,-0.3611111111111111,-0.2777777777777778,0.9722222222222222,1.25,D,D,D,W,D,W
351,D,0.19444444444444445,0.7777777777777778,1.4444444444444444,1.8055555555555556,D,D,W,D,L,W
352,H,-0.4722222222222222,1.0833333333333333,1.0833333333333333,2.0555555555555554,L,W,W,L,W,W
353,H,0.1388888888888889,-0.7777777777777778,1.4722222222222223,0.6944444444444444,D,D,W,L,W,L
354,H,1.3888888888888888,-0.1388888888888889,2.1944444444444446,1.3055555555555556,W,W,W,L,W,L
355,H,-0.08333333333333333,0.5833333333333334,1.2777777777777777,1.8888888888888888,L,W,D,W,D,D
356,H,-0.6666666666666666,-0.5277777777777778,1.0555555555555556,0.8611111111111112,L,L,W,L,L,W
357,D,-0.05555555555555555,-0.4166666666666667,1.0833333333333333,1.0833333333333333,D,D,L,W,L,W
358,NH,-0.4166666666666667,1.1388888888888888,1.0277777777777777,2.2777777777777777,D,D,L,D,L,D
359,D,-0.8888888888888888,-0.2222222222222222,0.4722222222222222,1.0833333333333333,D,D,L,L,L,L
360,NH,-0.21621621621621623,0.16216216216216217,1.0810810810810811,1.5135135135135136,D,W,D,D,L,W
361,H,0.5405405405405406,-0.5675675675675675,1.837837837837838,1.1081081081081081,L,W,W,L,W,W
362,D,1.027027027027027,-0.4864864864864865,2.0,1.0,L,L,W,D,L,L
363,H,1.1891891891891893,-0.05405405405405406,2.2972972972972974,1.3243243243243243,W,W,D,L,D,D
364,D,-0.7837837837837838,0.1891891891891892,0.6756756756756757,1.4324324324324325,L,D,D,D,L,W
365,D,-0.1891891891891892,-0.05405405405405406,1.2702702702702702,1.0810810810810811,L,D,W,D,L,L
366,NH,-0.5945945945945946,-0.43243243243243246,0.8378378378378378,1.135135135135135,L,W,L,L,L,W
367,NH,-0.32432432432432434,1.4054054054054055,1.2162162162162162,2.2162162162162162,L,W,D,W,W,W
368,H,0.7567567567567568,-0.8648648648648649,1.7837837837837838,0.4864864864864865,D,D,D,D,D,L
369,H,-0.40540540540540543,-0.2972972972972973,1.0810810810810811,1.027027027027027,D,W,D,D,W,D
370,D,-0.34210526315789475,1.0,1.0,1.9736842105263157,L,D,W,L,D,W
371,NH,0.18421052631578946,0.6052631578947368,1.4210526315789473,1.868421052631579,D,W,D,L,D,W
372,NH,-0.39473684210526316,-0.2894736842105263,1.1842105263157894,1.0526315789473684,W,L,W,D,L,D
373,H,0.23684210526315788,-0.34210526315789475,1.5526315789473684,1.1842105263157894,W,L,W,L,D,D
374,H,1.394736842105263,0.7631578947368421,2.236842105263158,1.8157894736842106,W,W,W,D,W,D
375,H,-0.07894736842105263,-0.6052631578947368,1.2894736842105263,0.8157894736842105,L,L,W,L,L,L
376,NH,-0.631578947368421,1.1842105263157894,1.0789473684210527,2.3157894736842106,L,W,W,W,L,D
377,NH,-0.05263157894736842,-0.7631578947368421,1.0789473684210527,0.6842105263157895,D,D,D,L,D,D
378,D,-0.47368421052631576,-0.18421052631578946,1.0,1.263157894736842,D,D,L,L,D,W
379,H,-0.868421052631579,-0.34210526315789475,0.47368421052631576,1.131578947368421,L,W,D,D,D,D
410,D,-0.25,0.75,1.0,1.75,L,W,D,D,W,W
411,D,-0.25,1.0,1.0,2.25,D,W,W,W,L,W
412,D,-0.75,-0.25,0.25,0.5,L,D,D,D,L,L
413,H,0.25,1.0,1.25,2.25,D,W,D,W,W,W
414,H,0.5,-0.5,1.75,0.25,W,L,D,D,W,L
415,H,-0.25,0.5,0.75,1.25,W,D,L,D,L,W
416,NH,-0.75,0.75,0.25,1.5,L,L,L,W,D,W
417,D,-0.5,-0.75,0.75,0.25,L,L,W,L,L,D
418,D,0.0,-0.5,1.5,0.25,W,D,L,L,W,L
419,H,0.25,-0.25,1.0,0.75,D,W,W,L,L,L
420,D,0.2,-0.4,1.0,0.8,L,D,D,L,D,W
421,NH,-0.6,0.0,0.4,1.2,D,W,L,W,L,L
